project_name,lang,build_command,github_url,clean_rep1,clean_rep2,clean_rep3,clean_rep4,clean_rep5,clean_rep6,clean_rep7,clean_rep8,clean_median,ebpf_rep1,ebpf_rep2,ebpf_rep3,ebpf_rep4,ebpf_rep5,ebpf_rep6,ebpf_rep7,ebpf_rep8,ebpf_median,ratio,delta_sec
OpenFunction,go,make binary,https://github.com/OpenFunction/OpenFunction,28.019,27.461,28.038,27.837,27.878,27.644,28.011,27.930,27.904,29.459,29.777,29.560,29.864,29.607,29.745,29.567,30.072,29.676,1.0635,1.772
openGemini,go,make go-build,https://github.com/openGemini/openGemini,99.548,99.029,98.116,98.892,99.211,98.280,99.120,99.178,99.075,101.290,102.347,100.938,102.698,101.381,101.098,101.225,101.610,101.335,1.0228,2.261
OpenKruise,go,make build,https://github.com/openkruise/kruise,127.061,124.111,125.069,122.419,127.156,123.351,122.953,123.672,123.892,135.802,136.432,132.677,132.398,136.178,132.708,131.087,132.489,132.692,1.0710,8.801
OpenYurt,go,make build,https://github.com/openyurtio/openyurt,74.409,72.887,73.961,73.423,74.103,73.000,73.050,73.084,73.254,77.326,77.524,78.112,77.461,76.943,78.308,76.603,78.074,77.493,1.0579,4.239
Operator Framework,go,make build,https://github.com/operator-framework/operator-sdk,65.592,49.441,50.004,49.998,50.043,49.723,50.456,49.192,50.001,55.321,56.053,56.540,56.143,57.577,58.229,57.452,55.701,56.341,1.1268,6.340
Thanos,go,make build,https://github.com/thanos-io/thanos,59.042,58.686,59.206,58.279,59.282,58.736,58.335,56.776,58.711,64.441,64.768,64.648,64.580,63.277,74.331,62.975,63.979,64.511,1.0988,5.800
The Update Framework (TUF),python,python -m build,https://github.com/theupdateframework/python-tuf,53.316,9.612,9.642,9.815,9.886,9.631,9.842,9.723,9.769,11.129,10.866,10.805,11.062,10.886,11.007,10.793,10.883,10.884,1.1142,1.115
vitess,go,make build,https://github.com/vitessio/vitess,81.723,75.291,75.888,75.545,83.857,77.977,78.080,75.204,76.933,90.663,87.753,87.499,88.846,90.948,91.933,87.798,88.111,88.478,1.1501,11.546
Volcano,go,make all,https://github.com/volcano-sh/volcano,118.577,116.480,116.940,114.865,118.136,114.557,114.579,115.372,115.926,122.735,121.298,120.355,120.225,123.231,119.575,118.864,119.675,120.290,1.0376,4.364
wasmcloud,rust,cargo build --release,https://github.com/wasmCloud/wasmCloud,342.407,328.310,332.378,327.657,328.646,325.704,324.944,323.784,327.983,362.787,356.033,362.889,360.404,356.678,360.642,354.380,358.893,359.649,1.0965,31.665
