project_name,lang,build_command,github_url,rep,arm,duration_sec
containerd,go,make all,https://github.com/containerd/containerd,2,ebpf,51.227
containerd,go,make all,https://github.com/containerd/containerd,3,clean,49.545
containerd,go,make all,https://github.com/containerd/containerd,3,ebpf,50.044
containerd,go,make all,https://github.com/containerd/containerd,4,clean,49.103
containerd,go,make all,https://github.com/containerd/containerd,4,ebpf,53.265
containerd,go,make all,https://github.com/containerd/containerd,5,clean,49.110
containerd,go,make all,https://github.com/containerd/containerd,5,ebpf,49.454
containerd,go,make all,https://github.com/containerd/containerd,6,clean,47.634
containerd,go,make all,https://github.com/containerd/containerd,6,ebpf,50.283
containerd,go,make all,https://github.com/containerd/containerd,7,clean,48.306
containerd,go,make all,https://github.com/containerd/containerd,7,ebpf,49.914
containerd,go,make all,https://github.com/containerd/containerd,8,clean,47.530
containerd,go,make all,https://github.com/containerd/containerd,8,ebpf,50.952
ContainerSSH,go,go build,https://github.com/containerssh/containerssh,1,clean,29.903
ContainerSSH,go,go build,https://github.com/containerssh/containerssh,1,ebpf,32.206
ContainerSSH,go,go build,https://github.com/containerssh/containerssh,2,clean,29.157
ContainerSSH,go,go build,https://github.com/containerssh/containerssh,2,ebpf,31.819
